x,U_ML_full_LU,U_exact
-0.83905,3.52701e-07,1.23373e-09
-0.807388,7.09582e-07,4.6732e-09
-0.775726,1.41644e-06,1.68518e-08
-0.744063,2.80406e-06,5.78548e-08
-0.712401,5.50242e-06,1.89112e-07
-0.680739,1.06968e-05,5.88586e-07
-0.649077,2.05885e-05,1.74439e-06
-0.617414,3.92082e-05,4.92323e-06
-0.585752,7.38232e-05,1.32333e-05
-0.55409,0.000137316,3.38793e-05
-0.522427,0.000252105,8.26214e-05
-0.490765,0.000456395,0.000191951
-0.459103,0.00081382,0.000424894
-0.427441,0.00142764,0.000896236
-0.395778,0.00246053,0.0018017
-0.364116,0.00416014,0.00345248
-0.332454,0.00688859,0.00630745
-0.300792,0.0111504,0.0109886
-0.269129,0.017607,0.0182601
-0.237467,0.0270598,0.0289504
-0.205805,0.040375,0.0438059
-0.174142,0.0583249,0.0632839
-0.14248,0.0813339,0.0873199
-0.110818,0.109153,0.115133
-0.0791557,0.140544,0.14514
-0.0474934,0.173132,0.175044
-0.0158311,0.203572,0.202117
0.0158311,0.228147,0.223624
0.0474934,0.243657,0.237316
0.0791557,0.24826,0.241841
0.110818,0.241899,0.236978
