t,e_max
0.30811,0.00129922
0.308136,0.00129917
0.308161,0.00129911
0.308187,0.00129906
0.308213,0.00129901
0.308238,0.00129895
0.308264,0.0012989
0.308289,0.00129884
0.308315,0.00129879
0.308341,0.00129874
0.308366,0.00129868
0.308392,0.00129863
0.308417,0.00129857
0.308443,0.00129852
0.308469,0.00129847
0.308494,0.00129841
0.30852,0.00129836
0.308546,0.0012983
0.308571,0.00129825
0.308597,0.00129819
0.308622,0.00129814
0.308648,0.00129809
0.308674,0.00129803
0.308699,0.00129798
0.308725,0.00129792
0.30875,0.00129787
0.308776,0.00129782
0.308802,0.00129776
0.308827,0.00129771
0.308853,0.00129766
0.308879,0.0012976
0.308904,0.00129755
0.30893,0.00129749
0.308955,0.00129744
0.308981,0.00129739
0.309007,0.00129733
0.309032,0.00129728
0.309058,0.00129722
0.309083,0.00129717
0.309109,0.00129712
0.309135,0.00129706
0.30916,0.00129701
0.309186,0.00129695
0.309212,0.0012969
0.309237,0.00129685
0.309263,0.00129679
0.309288,0.00129674
0.309314,0.00129669
0.30934,0.00129663
0.309365,0.00129658
0.309391,0.00129652
0.309416,0.00129647
0.309442,0.00129642
0.309468,0.00129636
0.309493,0.00129631
0.309519,0.00129625
0.309545,0.0012962
0.30957,0.00129615
0.309596,0.00129609
0.309621,0.00129604
0.309647,0.00129599
0.309673,0.00129593
0.309698,0.00129588
0.309724,0.00129582
0.309749,0.00129577
0.309775,0.00129572
0.309801,0.00129566
0.309826,0.00129561
0.309852,0.00129556
0.309878,0.0012955
0.309903,0.00129545
0.309929,0.0012954
0.309954,0.00129534
0.30998,0.00129529
0.310006,0.00129523
0.310031,0.00129518
0.310057,0.00129513
0.310082,0.00129507
0.310108,0.00129502
0.310134,0.00129497
0.310159,0.00129491
0.310185,0.00129486
0.310211,0.00129481
0.310236,0.00129475
0.310262,0.0012947
0.310287,0.00129464
0.310313,0.00129459
0.310339,0.00129454
0.310364,0.00129448
0.31039,0.00129443
0.310415,0.00129438
0.310441,0.00129432
0.310467,0.00129427
0.310492,0.00129422
0.310518,0.00129416
0.310544,0.00129411
0.310569,0.00129406
0.310595,0.001294
0.31062,0.00129395
0.310646,0.00129389
0.310672,0.00129384
0.310697,0.00129379
0.310723,0.00129373
0.310749,0.00129368
0.310774,0.00129363
0.3108,0.00129357
0.310825,0.00129352
0.310851,0.00129347
0.310877,0.00129341
0.310902,0.00129336
0.310928,0.00129331
0.310953,0.00129325
0.310979,0.0012932
0.311005,0.00129315
0.31103,0.00129309
0.311056,0.00129304
0.311082,0.00129299
0.311107,0.00129293
0.311133,0.00129288
0.311158,0.00129283
